,venue
906,Mathematical Notes
907,International Journal of Food Microbiology
908,nordic conference on human-computer interaction
909,Transportmetrica B-Transport Dynamics
910,task models and diagrams for user interface design
911,Journal of Applied Physics
912,Molecular Cell
913,"new trends in software methodologies, tools and techniques"
914,advanced video and signal based surveillance
915,Symmetry
916,hot topics in networks
917,international conference on access networks
918,"Journal on Satisfiability, Boolean Modeling and Computation"
919,arXiv: Dynamical Systems
920,Computational Mathematics and Mathematical Physics
921,Journal of Internet Technology
922,Computational Materials Science
923,ACM Sigcaph Computers and The Physically Handicapped
924,FEBS Journal
925,midwest artificial intelligence and cognitive science conference
926,arXiv: Portfolio Management
927,Applied Medical Informaticvs
928,"International Journal of Adaptive, Resilient and Autonomic Systems"
929,Engineering Applications of Artificial Intelligence
930,agents and data mining interaction
931,International Journal of Computational Science and Engineering
932,International Journal in Computer Simulation
933,Journal of Computer Science & Systems Biology
934,conference of the european chapter of the association for computational linguistics
935,Chemical Communications
936,Kybernetika
937,international conference on distributed computing and internet technology
938,International Journal of General Systems
939,international conference on tools with artificial intelligence
940,Ultramicroscopy
941,computer applications in industry and engineering
942,on The Horizon
943,modeling analysis and simulation on computer and telecommunication systems
944,PLOS Genetics
945,IEICE Transactions on Information and Systems
946,Functional Analysis and Its Applications
947,international conference on document analysis and recognition
948,Contexts
949,Journal of the ACM
950,international conference on data management in grid and p2p systems
951,distributed event based systems
952,American Mathematical Monthly
953,nasa formal methods
954,working ieee/ifip conference on software architecture
955,Theoretical and Computational Fluid Dynamics
956,Synthesis Lectures on Human Language Technologies
957,reversible computation
958,Security and Communication Networks
959,International Journal of Online Engineering (ijoe)
960,Cognition and Instruction
961,Electronics
962,Zamm-zeitschrift Fur Angewandte Mathematik Und Mechanik
963,International Journal of Human-computer Interaction
964,Source Code for Biology and Medicine
965,dynamic languages symposium
966,Informatica (slovenia)
967,Computer Systems: Science & Engineering
968,high performance distributed computing
969,Advances in Computers
970,financial cryptography
971,Expert Systems
972,semantic web applications and tools for life sciences
973,international symposium on neural networks
974,International Dairy Journal
975,conference on emerging network experiment and technology
976,Journal of Intelligent and Fuzzy Systems
977,International Journal of Biomedical Imaging
978,Bulletin of The Australian Mathematical Society
979,International Journal of Internet Marketing and Advertising
980,Space Communications
981,arXiv: Populations and Evolution
982,Journal of Intelligent and Robotic Systems
983,international conference on artificial immune systems
984,International Journal of Advanced Computer Science and Applications
985,Journal of Functional Analysis
986,Information & Computation
987,ACM Sigsam Bulletin
988,International Journal of Information Management
989,Annals of Biomedical Engineering
990,Journal of Intelligent Transportation Systems
991,"software - science, technology and engineering"
992,wired/wireless internet communications
993,Information Systems Security
994,Sadhana-academy Proceedings in Engineering Sciences
995,european conference on smart sensing and context
996,empirical software engineering and measurement
997,Proceedings of The Vldb Endowment
998,Algebraic & Geometric Topology
999,Sensors
1000,business information systems
1001,symposium on computational geometry
1002,Physical Review E
1003,Electronic Commerce Research and Applications
1004,Brain Informatics
1005,symposium workshop on electronic design test and applications
1006,Eurasip Journal on Bioinformatics and Systems Biology
1007,Natural Language Engineering
1008,computer science and software engineering
1009,international conference on cyber physical systems
1010,supercomputing conference
1011,international conference on intensive applications and services
1012,workshop in information security theory and practice
1013,Journal of Biosciences
1014,International Journal on Wireless & Optical Communications
1015,International Journal of Electrical Power & Energy Systems
